name,wins,losses,weight,rating,Gfactor
Tom Aaron,5,3,155 lbs.,53.612808691599206,29.906179409521528
Danny Abbadi,4,6,155 lbs.,48.437492236063626,26.361526886727756
Nariman Abbasov,28,4,155 lbs.,73.6617040092857,239.23276185129333
David Abbott,10,15,265 lbs.,47.52145692445441,26.083858437919243
Hamdy Abdelwahab,5,0,264 lbs.,57.27063462667546,36.950705148014514
Mansur Abdul-Malik,7,0,185 lbs.,61.0592594012362,53.99051403242137
Shamil Abdurakhimov,20,8,235 lbs.,64.43185432816122,84.72485599542907
Hiroyuki Abe,8,15,145 lbs.,45.17111259914028,25.603232746556316
Daichi Abe,6,2,170 lbs.,56.65444653704023,35.30312007190699
Papy Abedi,10,4,185 lbs.,60.53255586453498,50.7204597015031
Ricardo Abreu,5,1,185 lbs.,56.024439078730964,33.84597190122413
Klidson Abreu,15,4,205 lbs.,66.46221475100927,112.67717254205117
Daniel Acacio,30,18,180 lbs.,54.47678209173319,31.065116679828478
John Adajar,6,2,170 lbs.,56.65444653704023,35.30312007190699
Scott Adams,8,1,225 lbs.,61.46437758504153,56.75343681732211
Juan Adams,5,3,265 lbs.,53.612808691599206,29.906179409521528
Anthony Adams,8,2,185 lbs.,60.126927176067355,48.43385580271887
Zarrukh Adashev,4,4,125 lbs.,50.61632470173249,27.3397263783791
Israel Adesanya,24,4,185 lbs.,72.356850463479,217.9553388477915
Sam Adkins,7,20,225 lbs.,39.324386898759315,25.140073524190502
Mohamed Ado,5,1,170 lbs.,56.024439078730964,33.84597190122413
Nick Agallar,24,6,155 lbs.,69.24217440131169,160.8331198739398
Mariya Agapova,10,5,125 lbs.,59.2153816771732,43.96019414414485
Kantharaj Agasa,12,3,135 lbs.,64.57627001778874,86.47065209547401
Marcelo Aguiar,2,3,170 lbs.,47.860697587003706,26.1794140449497
Fabio Aguiar,17,1,185 lbs.,72.89519868591181,227.03295436834873
Edwin Aguilar,26,19,185 lbs.,52.53926777471444,28.765825952789736
Jessica Aguilar,20,8,115 lbs.,64.43185432816122,84.72485599542907
Kevin Aguilar,17,5,155 lbs.,66.75457105753162,117.28040573507938
Jesus Aguilar,11,2,125 lbs.,64.68117135832257,87.76234253165141
Christian Aguilera,14,8,170 lbs.,59.93815727469698,47.43442335499074
Nick Aguirre,7,2,135 lbs.,58.4308999243863,40.76102808081713
Mike Aina,14,6,155 lbs.,62.63431673658675,66.06500254863008
Ashiek Ajim,6,2,135 lbs.,56.65444653704023,35.30312007190699
Hitomi Akano,18,10,135 lbs.,60.480046687295435,50.41344121189533
Omari Akhmedov,21,6,185 lbs.,67.8842472248527,136.22937145120687
Yoshihiro Akiyama,14,6,170 lbs.,62.63431673658675,66.06500254863008
Rostem Akman,6,2,170 lbs.,56.65444653704023,35.30312007190699
Razak Al-Hassan,13,5,205 lbs.,62.955185340777014,68.99189601074579
Abdul-Kareem Al-Selwady,15,4,155 lbs.,66.46221475100927,112.67717254205117
Mostapha Al-Turk,6,6,245 lbs.,51.88192563103474,28.201232102574195
Herdem Alacabek,5,1,205 lbs.,56.024439078730964,33.84597190122413
Javi Alanis,0,4,135 lbs.,42.92367163026688,25.34422915088604
 Alatengheili,17,9,135 lbs.,61.131224516934694,54.46511932755815
Amir Albazi,17,2,125 lbs.,71.30901629661102,199.3273303518078
Brett Albee,3,2,225 lbs.,50.92898179248429,27.52834362806084
John Albert,6,5,135 lbs.,53.03597600268278,29.25666490565136
Junior Albini,14,6,264 lbs.,62.63431673658675,66.06500254863008
Wes Albritton,0,1,188 lbs.,45.85221283431107,25.714944537346337
Aleksandra Albu,3,2,115 lbs.,50.92898179248429,27.52834362806084
Israel Albuquerque,0,3,185 lbs.,43.8784565306904,25.436895705238566
Juan Alcain,1,2,--,46.89569853498966,25.92738270589456
Iuri Alcantara,35,10,135 lbs.,65.65137912232355,100.64630426371748
Ildemar Alcantara,21,11,185 lbs.,60.813025912931664,52.4179061431948
Alfonso Alcarez,1,3,145 lbs.,45.875259157758975,25.719065735740717
Gilbert Aldana,6,2,250 lbs.,56.65444653704023,35.30312007190699
Irene Aldana,15,8,135 lbs.,60.8634960493582,52.73386017061742
Hector Aldana,4,3,170 lbs.,51.74222331908354,28.09248973765414
Jose Alday,14,6,135 lbs.,62.63431673658675,66.06500254863008
Jose Aldo,32,9,135 lbs.,66.73711406427256,117.00178723046095
JJ Aldrich,13,7,125 lbs.,60.24521375530569,49.08072614985866
Irina Alekseeva,5,2,135 lbs.,54.80536045298997,31.57299132075174
Talita Alencar,5,1,115 lbs.,56.024439078730964,33.84597190122413
Jim Alers,13,3,145 lbs.,65.78705782984359,102.58128160956456
John Alessio,35,17,155 lbs.,56.281090462383716,34.41376516639843
Houston Alexander,17,15,205 lbs.,53.57179812359113,29.856945298464574
Kenneth Alexander,7,6,155 lbs.,53.5087321424889,29.782179919519827
Lucas Alexander,8,4,145 lbs.,57.53870091183134,37.743859177325
Marcio Alexandre Junior,17,4,185 lbs.,68.23944534855191,142.5123787495651
Olaf Alfonso,8,12,170 lbs.,48.25298932251506,26.30041787726233
Pablo Alfonso,9,7,145 lbs.,55.30568467966773,32.42709683704289
Levi Alford,1,7,--,42.010767546219135,25.274051410401942
Bill Algeo,18,9,145 lbs.,61.82535181056968,59.408309303370864
Royce Alger,3,2,199 lbs.,50.92898179248429,27.52834362806084
Amir Aliakbari,10,1,250 lbs.,64.66249343283928,87.53090165271074
Sultan Aliev,15,3,170 lbs.,67.9405859313587,137.21693164955974
Nurullo Aliev,9,0,155 lbs.,64.51357716587437,85.70816318060538
Ikram Aliskerov,15,2,185 lbs.,69.45184168161113,164.73808626940584
Leon Aliu,10,2,185 lbs.,63.25545277473803,71.8853690630566
John Allan,13,7,205 lbs.,60.24521375530569,49.08072614985866
George Allen,13,19,205 lbs.,46.266730055037,25.79280246677183
Arnold Allen,20,3,145 lbs.,71.92386602552689,210.39282255673402
Brendan Allen,24,6,185 lbs.,69.24217440131169,160.8331198739398
Daniel Allen,5,0,155 lbs.,57.27063462667546,36.950705148014514
Ben Alloway,18,8,170 lbs.,63.20058161105301,71.34527694225
Asu Almabayev,21,2,125 lbs.,74.12879164236477,246.20253541177618
Bekzat Almakhan,11,2,135 lbs.,64.68117135832257,87.76234253165141
John Dave Almanza,6,1,125 lbs.,57.91465583510212,38.94137092717693
Ricardo Almeida,13,5,170 lbs.,62.955185340777014,68.99189601074579
Magno Almeida,10,3,155 lbs.,61.87902899063045,59.81920450539406
Thomas Almeida,22,5,145 lbs.,69.90590858990544,173.23586740480565
Ericka Almeida,7,3,115 lbs.,57.159457276285394,36.635822717746755
Estefani Almeida,7,3,125 lbs.,57.159457276285394,36.635822717746755
Jailton Almeida,21,3,205 lbs.,72.5157665602891,220.67483307355036
Lucas Almeida,15,3,145 lbs.,67.9405859313587,137.21693164955974
Cesar Almeida,6,1,185 lbs.,57.91465583510212,38.94137092717693
Mauricio Alonso,13,7,170 lbs.,60.24521375530569,49.08072614985866
Sarah Alpar,9,6,135 lbs.,56.53589240967227,35.01227361297678
Ali AlQaisi,8,5,135 lbs.,56.28667230453116,34.426497814263044
Rico Altamirano,4,3,170 lbs.,51.74222331908354,28.09248973765414
Victor Altamirano,12,5,125 lbs.,61.796517152370996,59.18932907439345
Mike Altman,1,4,185 lbs.,44.87702430152132,25.560552873945895
Patricia Alujas,9,3,115 lbs.,60.39315075083401,49.91266518450327
Sean Alvarez,4,3,235 lbs.,51.74222331908354,28.09248973765414
Eddie Alvarez,29,6,155 lbs.,70.72582129908697,188.57193062240444
Jaime Alvarez,6,1,125 lbs.,57.91465583510212,38.94137092717693
Joel Alvarez,21,3,155 lbs.,72.5157665602891,220.67483307355036
Thiago Alves,23,15,170 lbs.,56.47100739598665,34.85646512149511
Anthony Alves,1,4,--,44.87702430152132,25.560552873945895
Amilcar Alves,15,12,170 lbs.,55.736408502606935,33.24828480084756
Warlley Alves,15,8,185 lbs.,60.8634960493582,52.73386017061742
Rafael Alves,20,12,155 lbs.,59.00417140846653,43.04367207157062
Sam Alvey,33,18,185 lbs.,54.86359130247249,31.667236797097445
Andre Amado,6,4,154 lbs.,54.215696822065794,30.68914930304124
Adlan Amagov,14,2,170 lbs.,68.39592990770467,145.32036808079982
Maiara Amanajas dos Santos,7,3,115 lbs.,57.159457276285394,36.635822717746755
Chris Amarante,2,0,185 lbs.,51.126075864639354,27.654914194043112
Jimmy Ambriz,17,21,315 lbs.,46.94716287581915,25.939353976799445
JJ Ambrose,28,7,170 lbs.,68.95699463940603,155.55370633727588
Alen Amedovski,8,4,185 lbs.,57.53870091183134,37.743859177325
Hyder Amil,10,0,145 lbs.,66.1008320000805,107.17791582034927
Hamid Amiri,9,0,145 lbs.,64.51357716587437,85.70816318060538
Makwan Amirkhani,17,9,145 lbs.,61.131224516934694,54.46511932755815
Jaqueline Amorim,9,1,115 lbs.,63.10977689073931,70.4626768672369
Bertrand Amoussou,1,1,190 lbs.,47.93883634579262,26.202586774881162
Karl Amoussou,27,7,185 lbs.,68.69997423688069,150.83683803008228
Eryk Anders,16,8,185 lbs.,61.71328034441558,58.56400258644066
Matt Andersen,14,8,230 lbs.,59.93815727469698,47.43442335499074
Andy Anderson,0,1,240 lbs.,45.85221283431107,25.714944537346337
Lowell Anderson,0,1,160 lbs.,45.85221283431107,25.714944537346337
Corey Anderson,14,5,205 lbs.,64.02754097852855,80.03640396373922
Derek Anderson,14,3,155 lbs.,66.90765054945909,119.7434879343712
Megan Anderson,11,5,145 lbs.,60.550040847060814,50.82343725273777
Liam Anderson,6,3,185 lbs.,55.42165909709045,32.64002301168613
Tatsuya Ando,14,4,145 lbs.,65.45175580022709,97.85810929722912
Alex Andrade,10,5,200 lbs.,59.2153816771732,43.96019414414485
Jessica Andrade,26,13,125 lbs.,59.9529955459356,47.51154346906738
Viscardi Andrade,19,6,170 lbs.,66.71805836123801,116.69818918110317
Jermaine Andre,14,4,200 lbs.,65.45175580022709,97.85810929722912
Juan Andres Luna,12,1,125 lbs.,67.4810627131009,129.2712345969606
Dylan Andrews,18,7,185 lbs.,64.6064017268156,86.83964379051471
Reese Andy,7,3,205 lbs.,57.159457276285394,36.635822717746755
 Angga,13,3,145 lbs.,65.78705782984359,102.58128160956456
Julius Anglickas,5,1,205 lbs.,56.024439078730964,33.84597190122413
Collin Anglin,8,3,145 lbs.,58.81857937362312,42.27270735498973
Chad Anheliger,13,8,135 lbs.,58.93429206470064,42.74967775159598
Yoji Anjo,0,5,205 lbs.,41.989662624853224,25.272610570424757
Magomed Ankalaev,20,1,205 lbs.,75.15917089203602,260.233630998986
Gadzhimurad Antigulov,20,8,205 lbs.,64.43185432816122,84.72485599542907
Adam Antolin,12,3,125 lbs.,64.57627001778874,86.47065209547401
Angelo Antonio,1,4,205 lbs.,44.87702430152132,25.560552873945895
Vanilto Antunes,16,7,170 lbs.,63.08601725136049,70.23402970089036
Azunna Anyanwu,14,5,251 lbs.,64.02754097852855,80.03640396373922
Shinsho Anzai,10,3,170 lbs.,61.87902899063045,59.81920450539406
Shinya Aoki,39,7,154 lbs.,70.47920229778404,183.9743122397506
 Aoriqileng,25,12,135 lbs.,60.99958366327187,53.60214615689415
Josh Appelt,15,7,255 lbs.,62.21733053759749,62.507967057418895
Erik Apple,10,3,170 lbs.,61.87902899063045,59.81920450539406
Kenji Arai,15,15,145 lbs.,52.17657226405616,28.443133842787326
Romie Aram,7,1,170 lbs.,59.7306242687181,46.380973136146
Felipe Arantes,18,10,135 lbs.,60.480046687295435,50.41344121189533
Igor Araujo,25,9,170 lbs.,65.16138500510927,93.92869655838318
Viviane Araujo,12,6,125 lbs.,60.45183946448153,50.24989139885395
Julio Arce,19,6,145 lbs.,66.71805836123801,116.69818918110317
Art Arciniega,15,7,145 lbs.,62.21733053759749,62.507967057418895
Alice Ardelean,9,7,115 lbs.,55.30568467966773,32.42709683704289
Tristan Arenal,7,4,155 lbs.,55.91568092135302,33.615508573888036
Dan Argueta,9,3,135 lbs.,60.39315075083401,49.91266518450327
Reza Arianto,5,0,155 lbs.,57.27063462667546,36.950705148014514
Hashem Arkhagha,6,1,185 lbs.,57.91465583510212,38.94137092717693
Andrei Arlovski,34,24,240 lbs.,48.168600288191186,26.273385237157576
Garrett Armfield,10,5,135 lbs.,59.2153816771732,43.96019414414485
Joey Armstrong,5,2,--,54.80536045298997,31.57299132075174
Austin Arnett,16,6,145 lbs.,64.4892890221981,85.414666942345
Ricardo Arona,14,5,205 lbs.,64.02754097852855,80.03640396373922
Eli Aronov,6,1,185 lbs.,57.91465583510212,38.94137092717693
Chalid Arrab,7,3,205 lbs.,57.159457276285394,36.635822717746755
Akbarh Arreola,23,11,155 lbs.,61.66566931538391,58.21083065894467
Matt Arroyo,3,3,170 lbs.,49.820779119598626,26.920441687157734
Antonio Arroyo,9,5,185 lbs.,57.79346461527691,38.544096421255695
Gilles Arsene,1,1,190 lbs.,47.93883634579262,26.202586774881162
Veta Arteaga,3,1,125 lbs.,52.06183508677518,28.346859193653422
Cesar Arzamendia,8,3,155 lbs.,58.81857937362312,42.27270735498973
Kai Asakura,21,4,125 lbs.,70.93784052485589,192.50439622449008
Teddy Ash,14,5,185 lbs.,64.02754097852855,80.03640396373922
Arman Ashimov,11,3,125 lbs.,63.27372427295307,72.06634846366211
Yanal Ashmouz,8,1,155 lbs.,61.46437758504153,56.75343681732211
 Asjabharan,7,6,135 lbs.,53.5087321424889,29.782179919519827
Askar Askar,11,1,145 lbs.,66.11992539331258,107.46303536558575
Askar Askarov,14,1,125 lbs.,69.91731423122685,173.44969703991595
Cyril Asker,9,4,247 lbs.,59.07900998597903,43.36358154312759
Khusein Askhabov,23,1,145 lbs.,76.84015560999615,279.0523989998784
Scott Askham,14,4,185 lbs.,65.45175580022709,97.85810929722912
Ben Askren,19,2,170 lbs.,72.85532725525597,226.37418912158685
Ibo Aslan,14,1,205 lbs.,69.91731423122685,173.44969703991595
Tom Aspinall,15,3,256 lbs.,67.9405859313587,137.21693164955974
Bruno Assis,8,4,185 lbs.,57.53870091183134,37.743859177325
Junior Assuncao,16,6,145 lbs.,64.4892890221981,85.414666942345
Raphael Assuncao,28,10,135 lbs.,64.55277099073969,86.18402002803916
Michael Aswell,9,2,145 lbs.,61.73652297962625,58.73760273130314
Bazigit Atajev,17,1,230 lbs.,72.89519868591181,227.03295436834873
Rich Attonito,10,5,170 lbs.,59.2153816771732,43.96019414414485
Olivier Aubin-Mercier,11,5,155 lbs.,60.550040847060814,50.82343725273777
Pat Audinwood,11,2,155 lbs.,64.68117135832257,87.76234253165141
Jose Augusto,6,2,251 lbs.,56.65444653704023,35.30312007190699
Marcus Aurelio,22,10,155 lbs.,62.624099173756086,65.97454895974278
David Avellan,2,1,185 lbs.,50.01358447107079,27.014639912275545
Blas Avena,8,7,170 lbs.,53.86375381480963,30.218309525693723
Levi Avera,18,15,170 lbs.,54.18009032680697,30.63967917300618
Anthony Avila,13,5,145 lbs.,62.955185340777014,68.99189601074579
Chris Avila,5,4,145 lbs.,52.44620657622556,28.680286595394335
Julia Avila,9,3,135 lbs.,60.39315075083401,49.91266518450327
Saad Awad,20,9,155 lbs.,63.02983232276576,69.69710538241375
Javy Ayala,10,5,265 lbs.,59.2153816771732,43.96019414414485
Jessin Ayari,16,6,155 lbs.,64.4892890221981,85.414666942345
Abu Azaitar,14,4,185 lbs.,65.45175580022709,97.85810929722912
Ottman Azaitar,13,2,155 lbs.,67.2504109651549,125.38369476860383
Luiz Azeredo,15,10,154 lbs.,58.243563410078465,40.076132519382384
Luciano Azevedo,17,9,161 lbs.,61.131224516934694,54.46511932755815
Hunter Azure,9,2,145 lbs.,61.73652297962625,58.73760273130314
Niklas Backstrom,11,3,145 lbs.,63.27372427295307,72.06634846366211
Seth Baczynski,20,14,170 lbs.,56.464275336750035,34.840434168005146
Abdul Azeem Badakhshi,13,3,145 lbs.,65.78705782984359,102.58128160956456
Ryan Bader,23,5,205 lbs.,70.36720826896685,181.88032365919037
Izabela Badurek,6,3,115 lbs.,55.42165909709045,32.64002301168613
Miguel Baeza,10,4,170 lbs.,60.53255586453498,50.7204597015031
Ali Bagautinov,15,6,125 lbs.,63.60127942840182,75.40789721649297
Mehdi Baghdad,11,5,155 lbs.,60.550040847060814,50.82343725273777
Melsik Baghdasaryan,8,2,145 lbs.,60.126927176067355,48.43385580271887
Siyar Bahadurzada,24,8,170 lbs.,66.2615728173741,109.59730926898519
Ignacio Bahamondes,16,5,155 lbs.,65.92377486785968,104.56337977483155
Bahatebole Batebolati,10,1,170 lbs.,64.66249343283928,87.53090165271074
Shamar Bailey,16,11,155 lbs.,57.77170646708873,38.473922744810544
Jordan Bailey,6,3,145 lbs.,55.42165909709045,32.64002301168613
Scott Baker,1,1,210 lbs.,47.93883634579262,26.202586774881162
Bryan Baker,18,5,185 lbs.,67.5125498173566,129.80738893121827
Jin Bala,23,3,155 lbs.,73.53249100383054,237.2406740859288
 Balajin,23,4,145 lbs.,71.93244128348819,210.54461868237436
Oluwale Bamgbose,6,4,185 lbs.,54.215696822065794,30.68914930304124
Stephen Banaszak,5,5,145 lbs.,51.304989448671215,27.775236569911602
Marcin Bandel,15,7,155 lbs.,62.21733053759749,62.507967057418895
Humberto Bandenay,14,7,145 lbs.,61.271408726670565,55.40953451685746
Tae Hyun Bang,18,10,155 lbs.,60.480046687295435,50.41344121189533
Yohan Banks,2,1,--,50.01358447107079,27.014639912275545
Shauna Bannon,6,1,115 lbs.,57.91465583510212,38.94137092717693
Antonio Banuelos,20,11,135 lbs.,60.31664748013325,49.479227371500464
Renan Barao,34,9,145 lbs.,67.0009877935852,121.26253360739103
Junior Barata,9,3,170 lbs.,60.39315075083401,49.91266518450327
Maycee Barber,14,2,125 lbs.,68.39592990770467,145.32036808079982
Bryan Barberena,18,12,185 lbs.,57.876620025562,38.81550743113455
Dione Barbosa,7,3,125 lbs.,57.159457276285394,36.635822717746755
Edson Barboza,24,12,145 lbs.,60.679756016305,51.59912035280988
Raoni Barcelos,18,5,135 lbs.,67.5125498173566,129.80738893121827
Daniel Barez,17,6,125 lbs.,65.30200728206242,95.81286394677997
Danny Barlow,9,0,170 lbs.,64.51357716587437,85.70816318060538
Luke Barnatt,13,4,185 lbs.,64.35554691479375,83.81755709056391
James Barnes,14,5,135 lbs.,64.02754097852855,80.03640396373922
Nick Barnes,11,2,170 lbs.,64.68117135832257,87.76234253165141
Shonte Barnes,6,2,185 lbs.,56.65444653704023,35.30312007190699
Josh Barnett,35,8,250 lbs.,68.60453275691968,149.09717303935903
Chris Barnett,23,9,265 lbs.,64.43953633696192,84.81677566083309
Chris Barnhizer,2,3,--,47.860697587003706,26.1794140449497
David Baron,17,4,155 lbs.,68.23944534855191,142.5123787495651
Phil Baroni,15,18,170 lbs.,48.844099689325,26.506476016923727
Dan Barrera,3,1,170 lbs.,52.06183508677518,28.346859193653422
Carlos Barreto,14,9,230 lbs.,58.633917060935964,41.53638395891526
Jose Barreto,0,1,185 lbs.,45.85221283431107,25.714944537346337
Peter Barrett,11,5,145 lbs.,60.550040847060814,50.82343725273777
Marc-Andre Barriault,16,9,185 lbs.,60.370413869902315,49.78312301470626
David Barrios,4,8,145 lbs.,46.352449885371065,25.809929178681138
Alexandre Barros,22,11,170 lbs.,61.261413495605446,55.34131741309856
Ricardo Barros,2,2,205 lbs.,48.92530062873384,26.537212050237265
Francimar Barroso,19,7,205 lbs.,65.26628909345781,95.33093250306852
Pat Barry,8,7,235 lbs.,53.86375381480963,30.218309525693723
Dean Barry,4,2,170 lbs.,52.89316618261452,29.109417447117895
Enrique Barzola,17,5,145 lbs.,66.75457105753162,117.28040573507938
Javid Basharat,14,1,135 lbs.,69.91731423122685,173.44969703991595
Farid Basharat,13,0,135 lbs.,70.27549281758319,180.16344941463908
Austin Bashi,13,0,145 lbs.,70.27549281758319,180.16344941463908
Stephen Bass,11,2,145 lbs.,64.68117135832257,87.76234253165141
Sean Bassett,0,4,155 lbs.,42.92367163026688,25.34422915088604
Ryan Bastianelli,6,7,135 lbs.,50.75298712421282,27.420389718309142
Shayna Baszler,15,11,135 lbs.,56.97619716049522,36.13409341190309
Michel Batista,4,1,260 lbs.,54.06971037113967,30.48898845260032
Bryan Battle,12,2,170 lbs.,66.01269064996926,105.8696985294906
Alan Baudot,8,3,243 lbs.,58.81857937362312,42.27270735498973
Mario Bautista,15,2,135 lbs.,69.45184168161113,164.73808626940584
Chris Beal,10,5,125 lbs.,59.2153816771732,43.96019414414485
Donovan Beard,7,2,185 lbs.,58.4308999243863,40.76102808081713
Rudy Bears,16,15,170 lbs.,52.9050685641038,29.121495379614068
Salvador Becerra,5,2,155 lbs.,54.80536045298997,31.57299132075174
Ariel Beck,4,5,125 lbs.,49.51492537365116,26.779910554051042
Jeff Bedard,13,3,145 lbs.,65.78705782984359,102.58128160956456
Eric Bedard,6,7,239 lbs.,50.75298712421282,27.420389718309142
Johnny Bedford,21,13,135 lbs.,58.195265813290895,39.90418109188992
Rolando Bedoya,14,4,155 lbs.,65.45175580022709,97.85810929722912
Chase Beebe,24,13,135 lbs.,59.35937878824027,44.60975345173793
Lyle Beerbohm,24,3,155 lbs.,73.96634065014837,243.82027237212714
Allan Begosso,7,2,135 lbs.,58.4308999243863,40.76102808081713
Mirsad Bektic,13,4,145 lbs.,64.35554691479375,83.81755709056391
Diana Belbita,15,9,115 lbs.,59.53912068136256,45.44958944866257
Alan Belcher,18,8,185 lbs.,63.20058161105301,71.34527694225
Vitor Belfort,26,14,185 lbs.,58.648432454880194,41.593175893723
Yousri Belgaroui,8,3,185 lbs.,58.81857937362312,42.27270735498973
Rodolfo Bellato,12,2,205 lbs.,66.01269064996926,105.8696985294906
Danilo Belluardo,12,5,155 lbs.,61.796517152370996,59.18932907439345
Joey Beltran,17,14,185 lbs.,54.76343765474612,31.5059476919041
Marco Beltran,8,6,125 lbs.,55.06188754543499,31.998184044306477
Joseph Benavidez,28,8,125 lbs.,67.45650664447759,128.8539914673209
Mike Bencic,1,2,215 lbs.,46.89569853498966,25.92738270589456
Dave Beneteau,6,5,250 lbs.,53.03597600268278,29.25666490565136
Karla Benitez,14,11,113 lbs.,56.10995897360906,34.031379912710065
Gabriel Benitez,23,13,155 lbs.,59.01120629158085,43.07352028842864
Charles Bennett,30,33,155 lbs.,39.16465156674632,25.13459252798054
Josh Bennett,11,14,259 lbs.,49.67342811719295,26.851412768697575
DeAnna Bennett,8,3,125 lbs.,58.81857937362312,42.27270735498973
Benjamin Bennett,7,1,170 lbs.,59.7306242687181,46.380973136146
Lance Benoist,7,2,170 lbs.,58.4308999243863,40.76102808081713
Joe Benoit,11,4,170 lbs.,61.89690290533907,59.956971233710675
Ryan Benoit,10,8,125 lbs.,55.43334642881024,32.66180758064168
Pat Benson,3,5,155 lbs.,47.67619174289044,26.12644709942515
Len Bentley,10,6,155 lbs.,57.92686889052502,38.98201573573219
Steve Berger,21,23,170 lbs.,46.702794767589126,25.883848735760964
Kenneth Bergh,8,0,205 lbs.,62.83157795265284,67.84443265878004
Bret Bergmark,6,1,170 lbs.,57.91465583510212,38.94137092717693
Keith Berish,5,1,205 lbs.,56.024439078730964,33.84597190122413
Dennis Bermudez,17,9,155 lbs.,61.131224516934694,54.46511932755815
Manny Bermudez,14,2,145 lbs.,68.39592990770467,145.32036808079982
Talita Bernardo,6,4,135 lbs.,54.215696822065794,30.68914930304124
Dave Berry,0,1,--,45.85221283431107,25.714944537346337
Keith Berry,15,14,185 lbs.,53.33717669190407,29.5844817816216
Dieusel Berto,0,3,200 lbs.,43.8784565306904,25.436895705238566
Edson Berto,17,12,155 lbs.,57.226826042243076,36.82566463463692
Allen Berube,4,3,155 lbs.,51.74222331908354,28.09248973765414
Anton Berzin,5,1,205 lbs.,56.024439078730964,33.84597190122413
Scott Bessac,4,6,245 lbs.,48.437492236063626,26.361526886727756
Matt Bessette,22,9,145 lbs.,64.01709613843248,79.91915390295067
Khadzhi Bestaev,10,4,185 lbs.,60.53255586453498,50.7204597015031
Fernando Bettega,7,5,170 lbs.,54.69896884755284,31.404150977284544
Arjan Bhullar,9,1,245 lbs.,63.10977689073931,70.4626768672369
KB Bhullar,8,2,185 lbs.,60.126927176067355,48.43385580271887
Bibulatov Magomed,14,2,125 lbs.,68.39592990770467,145.32036808079982
David Bielkheden,24,12,155 lbs.,60.679756016305,51.59912035280988
Blake Bilder,8,2,145 lbs.,60.126927176067355,48.43385580271887
Jonas Bilharinho,9,1,145 lbs.,63.10977689073931,70.4626768672369
Jeremiah Billington,11,2,205 lbs.,64.68117135832257,87.76234253165141
Scott Bills,7,9,170 lbs.,50.09117566769687,27.05383082974485
Anthony Birchak,16,8,135 lbs.,61.71328034441558,58.56400258644066
Chris Birchler,7,4,205 lbs.,55.91568092135302,33.615508573888036
Angad Bisht,10,3,125 lbs.,61.87902899063045,59.81920450539406
Michael Bisping,30,9,185 lbs.,66.40514870623909,111.79452530806265
Amaury Bitetti,5,2,185 lbs.,54.80536045298997,31.57299132075174
Caio Bittencourt,14,7,185 lbs.,61.271408726670565,55.40953451685746
Davi Bittencourt,14,4,135 lbs.,65.45175580022709,97.85810929722912
Simon Biyong,7,1,205 lbs.,59.7306242687181,46.380973136146
Jan Blachowicz,29,10,205 lbs.,64.76794011982915,88.84576031123188
Jason Black,23,4,155 lbs.,71.93244128348819,210.54461868237436
Brad Blackburn,18,13,170 lbs.,56.61723837777533,35.210971354846755
Jason Blackford,3,3,--,49.820779119598626,26.920441687157734
Tom Blackledge,10,7,205 lbs.,56.666393839247824,35.33287817958285
Sherrard Blackledge,5,1,155 lbs.,56.024439078730964,33.84597190122413
Da'Mon Blackshear,15,7,135 lbs.,62.21733053759749,62.507967057418895
Chasen Blair,6,3,155 lbs.,55.42165909709045,32.64002301168613
Erin Blanchfield,13,2,125 lbs.,67.2504109651549,125.38369476860383
Maximo Blanco,12,8,145 lbs.,57.849627012060914,38.726842260410585
David Blanco,2,0,145 lbs.,51.126075864639354,27.654914194043112
Curtis Blaydes,18,5,265 lbs.,67.5125498173566,129.80738893121827
Tereza Bleda,7,1,125 lbs.,59.7306242687181,46.380973136146
Arlene Blencowe,9,6,145 lbs.,56.53589240967227,35.01227361297678
Byron Bloodworth,6,3,135 lbs.,55.42165909709045,32.64002301168613
Dashawn Boatwright,3,1,205 lbs.,52.06183508677518,28.346859193653422
Dan Bobish,17,9,345 lbs.,61.131224516934694,54.46511932755815
Mark Bocek,12,5,155 lbs.,61.796517152370996,59.18932907439345
Kyle Bochniak,8,5,145 lbs.,56.28667230453116,34.426497814263044
James Bochnovic,8,3,205 lbs.,58.81857937362312,42.27270735498973
Jeremy Boczulak,0,2,--,44.85447946065457,25.557408220639278
Tim Boetsch,21,13,185 lbs.,58.195265813290895,39.90418109188992
Galore Bofando,5,3,170 lbs.,53.612808691599206,29.906179409521528
Jay Bogan,6,6,145 lbs.,51.88192563103474,28.201232102574195
Roman Bogatov,10,1,155 lbs.,64.66249343283928,87.53090165271074
Derek Bohi,8,5,260 lbs.,56.28667230453116,34.426497814263044
Jerry Bohlander,11,4,199 lbs.,61.89690290533907,59.956971233710675
Mandy Bohm,8,2,125 lbs.,60.126927176067355,48.43385580271887
Kotetsu Boku,25,11,154 lbs.,62.35644525506415,63.66431373726249
Gaston Bolanos,8,4,135 lbs.,57.53870091183134,37.743859177325
Kyle Bolt,8,4,185 lbs.,57.53870091183134,37.743859177325
Denys Bondar,14,5,125 lbs.,64.02754097852855,80.03640396373922
Luc Bondole,5,2,205 lbs.,54.80536045298997,31.57299132075174
Tony Bonello,16,3,185 lbs.,68.8891815045516,154.30498231060994
Gabriel Bonfim,16,1,170 lbs.,71.98797911496376,211.52585007348983
Ismael Bonfim,20,4,155 lbs.,70.35881960660316,181.7233596725789
