name,wins,losses,weight,rating,Gfactor
Thibault Gouti,12,5,155 lbs.,61.796517152370996,59.18932907439345
Wilson Gouveia,14,8,185 lbs.,59.93815727469698,47.43442335499074
Todd Gouwenberg,9,5,205 lbs.,57.79346461527691,38.544096421255695
Hugo Govea,0,1,--,45.85221283431107,25.714944537346337
Justin Governale,5,5,145 lbs.,51.304989448671215,27.775236569911602
Damian Grabowski,20,5,241 lbs.,68.82782822988916,153.17772043045312
Patryk Grabowski,5,1,205 lbs.,56.024439078730964,33.84597190122413
Royce Gracie,15,2,175 lbs.,69.45184168161113,164.73808626940584
Crosley Gracie,2,2,190 lbs.,48.92530062873384,26.537212050237265
Daniel Gracie,5,4,225 lbs.,52.44620657622556,28.680286595394335
Ralph Gracie,6,1,183 lbs.,57.91465583510212,38.94137092717693
Renzo Gracie,13,7,185 lbs.,60.24521375530569,49.08072614985866
Rickson Gracie,11,0,185 lbs.,67.5906827629629,131.1432896526074
Rodrigo Gracie,6,2,183 lbs.,56.65444653704023,35.30312007190699
Royler Gracie,5,5,150 lbs.,51.304989448671215,27.775236569911602
Ryan Gracie,5,2,200 lbs.,54.80536045298997,31.57299132075174
Ralek Gracie,3,1,210 lbs.,52.06183508677518,28.346859193653422
Rolles Gracie,8,4,242 lbs.,57.53870091183134,37.743859177325
Cesar Gracie,0,1,181 lbs.,45.85221283431107,25.714944537346337
Roger Gracie,8,2,185 lbs.,60.126927176067355,48.43385580271887
Igor Gracie,5,4,170 lbs.,52.44620657622556,28.680286595394335
Neiman Gracie,6,0,170 lbs.,59.20289695717774,43.90483158694692
Kron Gracie,5,2,145 lbs.,54.80536045298997,31.57299132075174
Bogdan Grad,14,2,145 lbs.,68.39592990770467,145.32036808079982
Steven Graham,2,1,290 lbs.,50.01358447107079,27.014639912275545
Scott Graham,3,1,185 lbs.,52.06183508677518,28.346859193653422
Miranda Granger,7,3,115 lbs.,57.159457276285394,36.635822717746755
TJ Grant,21,5,155 lbs.,69.39424978906027,163.663839929251
Davey Grant,15,7,135 lbs.,62.21733053759749,62.507967057418895
Dwight Grant,11,6,185 lbs.,59.232486190589135,44.036288311614925
Alexa Grasso,16,4,125 lbs.,67.39016910749804,127.73077268631532
